park_id,name_en,address_en,district,latitude,longitude,height_limit,opening_status,website,phone
tdc14p7742,Shun On Car Park,"Shun On Commercial Centre, 1 Lee On Road, Kwun Tong, Kowloon",Kwun Tong,22.328343314704,114.22651950149,2,OPEN,https://www.linkhk.com/en/parking/7742,5487 7944
tdc14p8423,Oi Man Car Park,"Oi Man Plaza, 60 Chung Hau Street, Ho Man Tin, Kowloon",Kowloon City,22.3112762,114.1792853,2,OPEN,https://www.linkhk.com/en/parking/8423,5487 7944
tdc14p8424,Homantin Car Park,"Homantin Plaza, 80 Fat Kwong Street, Ho Man Tin, Kowloon",Kowloon City,22.315203320007,114.18184573958,1.8,OPEN,https://www.linkhk.com/en/parking/8424,5487 7944
tdc14p8426,Hung Hom Car Park,"Hung Hom Estate Retail and Car Park, 9 Dyer Avenue, Hung Hom, Kowloon",Kowloon City,22.307413462336,114.18864048575,2.2,OPEN,https://www.linkhk.com/en/parking/8426,5487 7944
tdc14p8428,Hoi Fu Car Park,"Hoi Fu Shopping Centre, 2 Hoi Ting Road, Mong Kok, Kowloon",Yau Tsim Mong,22.31575,114.165453,0,OPEN,https://www.linkhk.com/en/parking/8428,5487 7944
tdc14p8502,Butterfly Car Park,"Butterfly Plaza, 1 Wu Chui Road, Tuen Mun, New Territories",Tuen Mun,22.375679703367,113.96319299585,1.8,OPEN,https://www.linkhk.com/en/parking/8502,2117 7076
tdc14p8511,Sam Shing Car Park,"Sam Shing Commercial Centre, 6 Sam Shing Street, Tuen Mun,  New Territories",Tuen Mun,22.380657,113.978527,1.7,OPEN,https://www.linkhk.com/en/parking/8511,2117 7076
tdc44p2,Aberdeen Tennis and Squash Centre,"No. 1 Aberdeen Praya Road, Aberdeen, Hong Kong",Southern,22.2469737712,114.15973424717,2.45,OPEN,,
tdstt7p1,Treasure Top Carpark (Tai Po Yee Nga Court),"Adjacent to Yee Nga Court , Area 17, Tai Po, NT",Tai Po,22.454676806224,114.17279075893,0,OPEN,,
tdc21p1,Peak Galleria,118 Peak Road,Central & Western,22.27025414,114.14987946,0,OPEN,,2849 8053
tdc2p8,Airport Car Park - Urban & Lantau Taxi (HOURLY),"Sky Plaza Road Central, Hong Kong International Airport, Lantau",Islands,22.31267043,113.9367046,0,OPEN,http://www.hongkongairport.com/en/transport/parking/parking-charges.page#content3,2183 4360
tdc28p3,Heung Yuen Wai BCP Public Car Park-Light Goods Vehicle,"Ground (outside Passenger Terminal Building), Heung Yuen Wai Boundary Control Point, New Territories, Hong Kong",North,22.551505046,114.153431458,0,OPEN,https://www.hywparking.com.hk/car-park/carParkInfo?lang=en,3590 6150 / 3586 9513
tdc2p1,AIRPORT CAR PARK 1 (HOURLY),"CHEONG SHUN ROAD, Islands District, New Territories",Islands,22.31322343,113.9366562,0,CLOSED,http://www.hongkongairport.com/eng/transport/parking.html,2183 4360
tdc2p11,Airport Car Park - Light Goods Vehicle (LONG-TERM),"Sky Plaza Road Central, Hong Kong International Airport, Lantau",Islands,22.31220107,113.936833,0,OPEN,http://www.hongkongairport.com/en/transport/parking/parking-charges.page#content3,2183 4360
tdc2p10,Airport Car Park - Light Goods Vehicle (HOURLY),"Sky Plaza Road Central, Hong Kong International Airport, Lantau",Islands,22.314164,113.9374,0,OPEN,http://www.hongkongairport.com/en/transport/parking/parking-charges.page#content3,2183 4360
